model,subj,a_0,b_0,p_0,h_0,a_opt,b_opt,p_opt,h_opt,nll
flat-history,9,0.25,1.0,NA,NA,0.8622507189510331,0.05077618161042771,NA,NA,251.27267502051274
flat-history,9,0.5,0.1,NA,NA,0.8622508640096984,0.05077621658373272,NA,NA,251.27267502044745
flat-history,9,0.5,1.0,NA,NA,0.862248834868394,0.05077614849786097,NA,NA,251.2726750210145
flat-history,9,0.75,0.1,NA,NA,0.8622510798078648,0.05077622716383132,NA,NA,251.27267502043168
flat-history,9,0.75,1.0,NA,NA,0.862247211740411,0.05077609359159267,NA,NA,251.27267502204646
flat-history,10,0.25,0.1,NA,NA,0.6890715206511736,0.1786070509630629,NA,NA,909.0144882726738
flat-history,10,0.25,1.0,NA,NA,0.6890686689704367,0.17860745090999025,NA,NA,909.0144882693727
flat-history,10,0.5,0.1,NA,NA,0.6890700719339771,0.17860723700069916,NA,NA,909.0144882703087
flat-history,10,0.5,1.0,NA,NA,0.6890685619628611,0.17860746802194516,NA,NA,909.0144882693654
flat-history,10,0.75,0.1,NA,NA,0.6890674880872,0.17860778986076395,NA,NA,909.0144882703588
flat-history,10,0.75,1.0,NA,NA,0.6890684465625219,0.17860737117860603,NA,NA,909.0144882694236
flat-history,11,0.25,0.1,NA,NA,0.8363118238020484,0.10218912139694974,NA,NA,464.4037162055208
flat-history,11,0.25,1.0,NA,NA,0.8363119534432905,0.10219004422941794,NA,NA,464.4037162106099
flat-history,11,0.5,0.1,NA,NA,0.8363103943994825,0.10218934886008937,NA,NA,464.40371620401015
flat-history,11,0.5,1.0,NA,NA,0.8363099572082806,0.10218938090012052,NA,NA,464.4037162040436
flat-history,11,0.75,0.1,NA,NA,0.8363099292351484,0.10218931521151488,NA,NA,464.4037162040099
flat-history,11,0.75,1.0,NA,NA,0.8363106811582883,0.10218938945969364,NA,NA,464.4037162040659
flat-history,12,0.25,0.1,NA,NA,0.8509325705612759,0.09328062315392803,NA,NA,398.71344560343834
flat-history,12,0.25,1.0,NA,NA,0.8509323493963817,0.09328060008178869,NA,NA,398.71344560344664
flat-history,12,0.5,0.1,NA,NA,0.8509324932002503,0.09328062110300005,NA,NA,398.71344560343783
flat-history,12,0.5,1.0,NA,NA,0.8509324365355808,0.09328062955204233,NA,NA,398.7134456034387
flat-history,12,0.75,0.1,NA,NA,0.850932449481685,0.09328061861627295,NA,NA,398.7134456034388
flat-history,12,0.75,1.0,NA,NA,0.8509324005423943,0.09328064043996726,NA,NA,398.7134456034442
simple-hierarchical,1,0.25,0.1,0.05,NA,0.17970197208955085,0.0672001706423934,0.05,NA,225.4770443288284
